Number ,Time of the day,Speed,Weather ,Date,Plate State ,Color ,Type of Car,Collector Name
132,4:44: PM,37,Cloudy,4/9/2025,IL,Blue,Sedan,Tommy
133,4:44: PM,36,Cloudy,4/9/2025,IL,Grey,Truck,Tommy
134,4:45: PM,32,Cloudy,4/9/2025,NE,White,SUV,Tommy
135,4:45: PM,34,Cloudy,4/9/2025,IL,Red,Truck,Tommy
136,4:46: PM,34,Cloudy,4/9/2025,IL,Black,SUV,Tommy
137,4:46: PM,34,Cloudy,4/9/2025,IA,Blue,SUV,Tommy
138,4:47: PM,37,Cloudy,4/9/2025,IA,Grey,Sedan,Tommy
139,4:47: PM,38,Cloudy,4/9/2025,IL,Red,Truck,Tommy
140,4:48: PM,39,Cloudy,4/9/2025,IL,White,SUV,Tommy
141,4:48: PM,27,Cloudy,4/9/2025,IA,Brown,SUV,Tommy
142,4:49: PM,28,Cloudy,4/9/2025,IL,Black,Truck,Tommy
143,4:49: PM,40,Cloudy,4/9/2025,IA,Grey,Sedan,Tommy
144,4:50: PM,25,Cloudy,4/9/2025,IL,Red,Truck,Tommy
145,4:50: PM,32,Cloudy,4/9/2025,IA,White,SUV,Tommy
146,4:50: PM,32,Cloudy,4/9/2025,IA,Blue,Truck,Tommy
147,4:50: PM,36,Cloudy,4/9/2025,IL,Black,SUV,Tommy
148,4:50: PM,35,Cloudy,4/9/2025,IL,Red,Sedan,Tommy
149,4:50: PM,31,Cloudy,4/9/2025,IL,White,SUV,Tommy
150,4:50: PM,43,Cloudy,4/9/2025,WI,Grey,SUV,Tommy
151,2:15: PM,31,Windy,4/14/2025,IL,Red,Sedan,Philip
152,2:15: PM,30,Windy,4/14/2025,IL,Grey,SUV,Philip
153,2:15: PM,29,Windy,4/14/2025,IL,Grey,Sedan,Philip
154,2:17: PM,28,Windy,4/14/2025,IA,Black,Truck,Philip
155,2:17: PM,33,Windy,4/14/2025,IL,Grey,Sedan,Philip
156,2:17: PM,30,Windy,4/14/2025,IA,Blue,Truck,Philip
157,2:20: PM,31,Windy,4/14/2025,IL,Black,SUV,Philip
158,2:20: PM,32,Windy,4/14/2025,IL,Yellow ,Coupe,Philip
159,2:20: PM,29,Windy,4/14/2025,IA,Grey,Minivan,Philip
160,2:20: PM,27,Windy,4/14/2025,IA,Black,SUV,Philip
161,2:22: PM,35,Windy,4/14/2025,FL,Blue,Truck,Philip
162,2:22: PM,29,Windy,4/14/2025,IL,Grey,SUV,Philip
163,2:23: PM,30,Windy,4/14/2025,IL,Red,Coupe,Philip
164,2:23: PM,31,Windy,4/14/2025,IA,Grey,Sedan,Philip
165,2:23: PM,32,Windy,4/14/2025,WI,Black,Sedan,Philip
166,2:23: PM,31,Windy,4/14/2025,WI,Black,SUV,Philip
167,2:24: PM,34,Windy,4/14/2025,IL,Grey,Sedan,Philip
168,2:25: PM,33,Windy,4/14/2025,IL,Red,SUV,Philip
169,2:25: PM,34,Windy,4/14/2025,IA,Blue,Truck,Philip
170,2:25: PM,32,Windy,4/14/2025,IA,White,Sedan,Philip
171,2:30: PM,27,Windy,4/14/2025,IL,Red,SUV,Philip
172,2:30: PM,28,Windy,4/14/2025,IL,Grey,Sedan,Philip
173,2:32: PM,33,Windy,4/14/2025,WI,Black,Truck,Philip
174,2:33: PM,32,Windy,4/14/2025,IL,Grey,Sedan,Philip
175,2:33: PM,26,Windy,4/14/2025,IL,Black,SUV,Philip
176,2:33: PM,29,Windy,4/14/2025,IL,Black,SUV,Philip
177,2:34: PM,29,Windy,4/14/2025,IA,Grey,SUV,Philip
178,2:34: PM,29,Windy,4/14/2025,IL,Red,Truck,Philip
179,2:34: PM,30,Windy,4/14/2025,IL,Grey,Coupe,Philip
180,2:34: PM,29,Windy,4/14/2025,IA,Black,Sedan,Philip
181,2:36: PM,31,Windy,4/14/2025,IL,Grey,Sedan,Philip
182,2:36: PM,31,Windy,4/14/2025,IL,White,SUV,Philip
183,2:36: PM,30,Windy,4/14/2025,PA,Blue,Truck,Philip
184,2:37: PM,35,Windy,4/14/2025,IL,Black,SUV,Philip
185,2:37: PM,34,Windy,4/14/2025,IL,White,SUV,Philip
186,2:40: PM,38,Windy,4/14/2025,IA,Black,Coupe,Philip
187,2:42: PM,34,Windy,4/14/2025,IL,Grey,SUV,Philip
188,2:42: PM,26,Windy,4/14/2025,IL,White,SUV,Philip
189,2:42: PM,27,Windy,4/14/2025,IL,White,SUV,Philip
190,2:44: PM,33,Windy,4/14/2025,IL,Black,SUV,Philip
191,2:44: PM,34,Windy,4/14/2025,IL,Grey,Sedan,Philip
192,2:44: PM,29,Windy,4/14/2025,IL,Grey,Truck,Philip
193,2:44: PM,30,Windy,4/14/2025,IL,Blue,Truck,Philip
194,2:49: PM,39,Windy,4/14/2025,IA,Blue,Truck,Philip
195,2:49: PM,36,Windy,4/14/2025,IA,Red,Sedan,Philip
196,2:50: PM,30,Windy,4/14/2025,IL,Grey,Sedan,Philip
197,2:52: PM,33,Windy,4/14/2025,IL,Grey,SUV,Philip
198,2:52: PM,26,Windy,4/14/2025,IL,Black,SUV,Philip
199,2:52: PM,18,Windy,4/14/2025,WI,Black,Truck,Philip
200,2:58: PM,29,Windy,4/14/2025,IL,White,SUV,Philip
201,3:00: PM,31,Windy,4/14/2025,IL,White,SUV,Philip
202,3:00: PM,33,Windy,4/14/2025,IA,Black,Sedan,Philip
203,3:00: PM,29,Windy,4/14/2025,IL,Grey,SUV,Philip
204,3:00: PM,30,Windy,4/14/2025,IA,Brown,SUV,Philip
205,3:01: PM,30,Windy,4/14/2025,IL,Red,SUV,Philip
206,3:01: PM,31,Windy,4/14/2025,IL,Black,Sevan,Philip
207,3:03: PM,37,Windy,4/14/2025,IL,Red,Minivan,Philip
208,3:03: PM,35,Windy,4/14/2025,IA,Blue,Truck,Philip
209,3:05: PM,28,Windy,4/14/2025,IL,White,SUV,Philip
210,3:05: PM,30,Windy,4/14/2025,IL,Red,Sedan,Philip
211,3:05: PM,30,Windy,4/14/2025,IA,White,SUV,Philip
212,3:08: PM,31,Windy,4/14/2025,IL,Red,Truck,Philip
213,3:08: PM,31,Windy,4/14/2025,IA,White,Minivan,Philip
214,3:09: PM,35,Windy,4/14/2025,IL,Grey,Sedan,Philip
215,3:10: PM,30,Windy,4/14/2025,IL,Black,Sedan,Philip
216,3:10: PM,28,Windy,4/14/2025,IA,Black,Sedan,Philip
217,3:11: PM,32,Windy,4/14/2025,IL,Blue,Truck,Philip
218,3:11: PM,32,Windy,4/14/2025,IL,Grey,Sedan,Philip
219,3:12: PM,29,Windy,4/14/2025,IA,Grey,Truck,Philip
220,3:12: PM,30,Windy,4/14/2025,FL,White,SUV,Philip
221,3:12: PM,30,Windy,4/14/2025,WI,Blue,SUV,Philip
222,3:12: PM,31,Windy,4/14/2025,IA,White,SUV,Philip
223,3:14: PM,34,Windy,4/14/2025,IL,White,Minivan,Philip
224,3:14: PM,26,Windy,4/14/2025,IA,Red,Truck,Philip
225,3:15: PM,19,Windy,4/14/2025,IL,Black,SUV,Philip
